Country	Population
China	1360760000
India	1235740000
United States	316955000
Indonesia	237641326
Brazil	201032714
Pakistan	184644000
Nigeria	173615000
Bangladesh	152518015
Russian Federation	143500000
Japan	127300000
Mexico	118395054
Philippines	98571000
Vietnam	88780000
Ethiopia	86613986
Egypt	83661000
Germany	80523700
Iran	77012000
Turkey	75627384
Congo	67514000
Thailand	65926261
France	65806000
United Kingdom	63705000
Italy	59772978
Burma	53259000
South Africa	52981991
South Korea	50219669
Colombia	47298000
Spain	46704314
Ukraine	45461627
Tanzania, United Republic of	44928923
Kenya	44354000
Argentina	40117096
Poland	38533299
Sudan	37964000
Algeria	37900000
Uganda	35357000
Canada	35158304
Iraq	34035000
Morocco	33066400
Peru	30475144
Uzbekistan	30183400
Malaysia	29791700
Saudi Arabia	29195895
Venezuela	28946101
Nepal	26494504
Afghanistan	25500100
North Korea	24895000
Ghana	24658823
Yemen	24527000
Mozambique	23700715
Taiwan	23356588
Australia	23230382
Ivory Coast	23202000
Syria	21898000
Madagascar	20696070
Angola	20609294
Cameroon	20386799
Sri Lanka	20277597
Romania	20121641
Burkina Faso	17322796
Niger	17129076
Kazakhstan	17076000
Netherlands	16804700
Chile	16634603
Malawi	16363000
Ecuador	15602600
Guatemala	15438384
Mali	15302000
Cambodia	15135000
Senegal	13567338
Zambia	13092666
Zimbabwe	12973808
Chad	12825000
South Sudan	11296000
Belgium	11167578
Cuba	11163934
Guinea	10824200
Greece	10815197
Tunisia	10777500
Portugal	10562178
Rwanda	10537222
Czech Republic	10512900
Somalia	10496000
Haiti	10413211
Benin	10323000
Burundi	10163000
Bolivia	10027254
Hungary	9906000
Sweden	9616429
Belarus	9464400
Dominican Republic	9445281
Azerbaijan	9235100
Honduras	8555072
Austria	8464554
United Arab Emirates	8264070
Switzerland	8085300
Israel	8081000
Tajikistan	8000000
Bulgaria	7282041
Serbia	7181505
Hong Kong	7173900
Papua New Guinea	7059653
Paraguay	6600284
Laos	6580800
Jordan	6504200
El Salvador	6340000
Eritrea	6333000
Libya	6202000
Togo	6191155
Sierra Leone	6190280
Nicaragua	6071045
Denmark	5608784
Kyrgyzstan	5551900
Finland	5445883
Slovakia	5412008
Singapore	5399200
Turkmenistan	5240000
Norway	5077798
Lebanon	4822000
Costa Rica	4667096
Central African Republic	4616000
Ireland	4585400
Georgia	4483800
New Zealand	4477430
Congo, the Democratic Republic of	4448000
Palestine	4420549
Liberia	4294000
Croatia	4290612
Oman	3897000
Bosnia and Herzegovina	3839737
Puerto Rico	3667084
Kuwait	3582054
Moldova	3559500
Mauritania	3461041
Panama	3405813
Uruguay	3286314
Armenia	3024100
Lithuania	2950684
Albania	2821977
Mongolia	2754685
Jamaica	2711476
Namibia	2113077
Lesotho	2074000
Slovenia	2061229
Macedonia	2062294
Qatar	2035106
Botswana	2024904
Latvia	2014000
Gambia	1849000
Guinea-Bissau	1704000
Gabon	1672000
Equatorial Guinea	1622000
Trinidad and Tobago	1328019
Estonia	1286540
Mauritius	1257900
Swaziland	1250000
Bahrain	1234571
Timor-Leste	1066409
Djibouti	864618
Cyprus	862000
Fiji	858038
Réunion	821136
Guyana	784894
Bhutan	740200
Comoros	724300
Montenegro	620029
Macau	582000
Western Sahara	567000
Solomon Islands	561000
Luxembourg	537000
Suriname	534189
Cape Verde	491875
Malta	416055
Guadeloupe	403355
Martinique	394173
Brunei	393162
Bahamas	351461
Iceland	325010
Maldives	317280
Belize	312971
Barbados	274200
French Polynesia	268270
Vanuatu	264652
New Caledonia	258958
French Guiana	229040
Mayotte	212600
Samoa	187820
São Tomé and Príncipe	187356
Saint Lucia	166526
Guam	159358
Curaçao	150563
Saint Vincent and the Grenadines	109000
Kiribati	106461
United States Virgin Islands	106405
Grenada	103328
Tonga	103036
Aruba	101484
Federated States of Micronesia	101351
Jersey	97857
Seychelles	90945
Antigua and Barbuda	86295
Isle of Man	84497
Andorra	76246
Dominica	71293
Bermuda	64237
Guernsey	62431
Greenland	56370
Marshall Islands	56086
American Samoa	55519
Cayman Islands	55456
Saint Kitts and Nevis	54000
Northern Mariana Islands	53883
Faroe Islands	48509
Sint Maarten	37429
Saint Martin	36979
Liechtenstein	36842
Monaco	36136
San Marino	32509
Turks and Caicos Islands	31458
Gibraltar	29752
British Virgin Islands	29537
Åland Islands	28502
Caribbean Netherlands	21133
Palau	20901
Cook Islands	14974
Anguilla	13452
Wallis and Futuna	13135
Tuvalu	11323
Nauru	9945
Saint Barthélemy	8938
Saint Pierre and Miquelon	6081
Montserrat	4922
Saint Helena, Ascension and Tristan da Cunha	4000
Svalbard and Jan Mayen	2655
Falkland Islands	2563
Norfolk Island	2302
Christmas Island	2072
Niue	1613
Tokelau	1411
Vatican City	800
Cocos, Islands	550
Pitcairn Islands	56
